name,description,stock,price,category
LED Light Bulb,"60W Equivalent, Soft White",5,231,Home Goods
Guitar,"Acoustic, Natural Finish",93,989,Musical Instruments
Mobile Phone,"5.5-inch display, 64GB",21,438,Electronics
Running Shoes,"Size 10, Breathable Mesh",99,602,Clothing
Running Shoes,"Size 10, Breathable Mesh",74,808,Clothing
Mobile Phone,"5.5-inch display, 64GB",63,258,Electronics
LED Light Bulb,"60W Equivalent, Soft White",32,790,Home Goods
Desk Chair,"Ergonomic, Adjustable height",98,492,Furniture
Wristwatch,"Analog, Leather Strap",22,511,Fashion
Wristwatch,"Analog, Leather Strap",34,387,Fashion
Wristwatch,"Analog, Leather Strap",71,640,Fashion
Mobile Phone,"5.5-inch display, 64GB",28,581,Electronics
Mobile Phone,"5.5-inch display, 64GB",19,236,Electronics
Wristwatch,"Analog, Leather Strap",40,775,Fashion
Laptop,"14-inch, 8GB RAM, 256GB SSD",83,365,Electronics
Blender,"500W, 3-speed",18,371,Appliances
Guitar,"Acoustic, Natural Finish",18,75,Musical Instruments
LED Light Bulb,"60W Equivalent, Soft White",12,783,Home Goods
Bookshelf,Wooden 5-tier shelf,35,203,Furniture
Guitar,"Acoustic, Natural Finish",60,224,Musical Instruments
Guitar,"Acoustic, Natural Finish",97,136,Musical Instruments
Running Shoes,"Size 10, Breathable Mesh",93,142,Clothing
Backpack,"Water-resistant, 20L capacity",36,913,Accessories
Backpack,"Water-resistant, 20L capacity",89,46,Accessories
Running Shoes,"Size 10, Breathable Mesh",82,569,Clothing
Desk Chair,"Ergonomic, Adjustable height",58,260,Furniture
LED Light Bulb,"60W Equivalent, Soft White",34,24,Home Goods
LED Light Bulb,"60W Equivalent, Soft White",17,608,Home Goods
Blender,"500W, 3-speed",5,704,Appliances
Desk Chair,"Ergonomic, Adjustable height",96,119,Furniture
Guitar,"Acoustic, Natural Finish",45,286,Musical Instruments
Blender,"500W, 3-speed",25,62,Appliances
Blender,"500W, 3-speed",55,173,Appliances
Wristwatch,"Analog, Leather Strap",86,474,Fashion
Laptop,"14-inch, 8GB RAM, 256GB SSD",5,143,Electronics
Running Shoes,"Size 10, Breathable Mesh",76,460,Clothing
LED Light Bulb,"60W Equivalent, Soft White",75,644,Home Goods
